Pesos Camada de Entrada: 
[[-0.37038881 -0.52051142]
 [-0.40292632 -0.62219272]]
Bias Camada de Entrada: 
[ 0.69484352 -0.2763658 ]
Pesos Camada Escondida: 
[[0.16179438]
 [0.81183731]]
Bias Camada Escondida: 
[0.38305949]
Iteration 1, loss = 0.60594734
Iteration 2, loss = 0.59939766
Iteration 3, loss = 0.59327425
Iteration 4, loss = 0.58843572
Iteration 5, loss = 0.58463227
Iteration 6, loss = 0.58122557
Iteration 7, loss = 0.57773933
Iteration 8, loss = 0.57406907
Iteration 9, loss = 0.57042065
Iteration 10, loss = 0.56711765
Iteration 11, loss = 0.56440669
Iteration 12, loss = 0.56234790
Iteration 13, loss = 0.56081888
Iteration 14, loss = 0.55960046
Iteration 15, loss = 0.55847714
Iteration 16, loss = 0.55729454
Iteration 17, loss = 0.55595793
Iteration 18, loss = 0.55439473
Iteration 19, loss = 0.55251589
Iteration 20, loss = 0.55019714
Iteration 21, loss = 0.54728083
Iteration 22, loss = 0.54358742
Iteration 23, loss = 0.53892544
Iteration 24, loss = 0.53309548
Iteration 25, loss = 0.52588966
Iteration 26, loss = 0.51709228
Iteration 27, loss = 0.50648638
Iteration 28, loss = 0.49386890
Iteration 29, loss = 0.47907264
Iteration 30, loss = 0.46199082
Iteration 31, loss = 0.44259819
Iteration 32, loss = 0.42096502
Iteration 33, loss = 0.39726322
Iteration 34, loss = 0.37176693
Iteration 35, loss = 0.34484886
Iteration 36, loss = 0.31697090
Iteration 37, loss = 0.28866504
Iteration 38, loss = 0.26050182
Iteration 39, loss = 0.23304834
Iteration 40, loss = 0.20682287
Iteration 41, loss = 0.18225521
Iteration 42, loss = 0.15966023
Iteration 43, loss = 0.13922772
Iteration 44, loss = 0.12102749
Iteration 45, loss = 0.10502630
Iteration 46, loss = 0.09111154
Iteration 47, loss = 0.07911701
Iteration 48, loss = 0.06884677
Iteration 49, loss = 0.06009473
Iteration 50, loss = 0.05265898
Iteration 51, loss = 0.04635107
Iteration 52, loss = 0.04100112
Iteration 53, loss = 0.03645983
Iteration 54, loss = 0.03259842
Iteration 55, loss = 0.02930728
Iteration 56, loss = 0.02649406
Iteration 57, loss = 0.02408143
Iteration 58, loss = 0.02200496
Iteration 59, loss = 0.02021108
Iteration 60, loss = 0.01865531
Iteration 61, loss = 0.01730071
Iteration 62, loss = 0.01611660
Iteration 63, loss = 0.01507741
Iteration 64, loss = 0.01416186
Iteration 65, loss = 0.01335211
Iteration 66, loss = 0.01263323
Iteration 67, loss = 0.01199266
Iteration 68, loss = 0.01141981
Iteration 69, loss = 0.01090569
Iteration 70, loss = 0.01044271
Iteration 71, loss = 0.01002438
Iteration 72, loss = 0.00964514
Iteration 73, loss = 0.00930026
Iteration 74, loss = 0.00898565
Iteration 75, loss = 0.00869778
Iteration 76, loss = 0.00843360
Iteration 77, loss = 0.00819047
Iteration 78, loss = 0.00796608
Iteration 79, loss = 0.00775842
Iteration 80, loss = 0.00756574
Iteration 81, loss = 0.00738650
Iteration 82, loss = 0.00721934
Iteration 83, loss = 0.00706305
Iteration 84, loss = 0.00691660
Iteration 85, loss = 0.00677905
Iteration 86, loss = 0.00664956
Iteration 87, loss = 0.00652740
Iteration 88, loss = 0.00641192
Iteration 89, loss = 0.00630253
Iteration 90, loss = 0.00619871
Iteration 91, loss = 0.00609999
Iteration 92, loss = 0.00600595
Iteration 93, loss = 0.00591622
Iteration 94, loss = 0.00583045
Iteration 95, loss = 0.00574834
Iteration 96, loss = 0.00566962
Iteration 97, loss = 0.00559403
Iteration 98, loss = 0.00552136
Iteration 99, loss = 0.00545139
Iteration 100, loss = 0.00538393
Iteration 101, loss = 0.00531883
Iteration 102, loss = 0.00525593
Iteration 103, loss = 0.00519509
Iteration 104, loss = 0.00513618
Iteration 105, loss = 0.00507908
Iteration 106, loss = 0.00502369
Iteration 107, loss = 0.00496991
Iteration 108, loss = 0.00491765
Iteration 109, loss = 0.00486682
Iteration 110, loss = 0.00481736
Iteration 111, loss = 0.00476919
Iteration 112, loss = 0.00472224
Iteration 113, loss = 0.00467646
Iteration 114, loss = 0.00463178
Iteration 115, loss = 0.00458817
Iteration 116, loss = 0.00454557
Iteration 117, loss = 0.00450394
Iteration 118, loss = 0.00446323
Iteration 119, loss = 0.00442341
Iteration 120, loss = 0.00438443
Iteration 121, loss = 0.00434628
Iteration 122, loss = 0.00430891
Iteration 123, loss = 0.00427230
Iteration 124, loss = 0.00423642
Iteration 125, loss = 0.00420124
Iteration 126, loss = 0.00416674
Iteration 127, loss = 0.00413289
Iteration 128, loss = 0.00409967
Iteration 129, loss = 0.00406707
Iteration 130, loss = 0.00403505
Iteration 131, loss = 0.00400362
Iteration 132, loss = 0.00397273
Iteration 133, loss = 0.00394239
Iteration 134, loss = 0.00391257
Iteration 135, loss = 0.00388325
Iteration 136, loss = 0.00385443
Iteration 137, loss = 0.00382609
Iteration 138, loss = 0.00379822
Iteration 139, loss = 0.00377080
Iteration 140, loss = 0.00374382
Iteration 141, loss = 0.00371727
Iteration 142, loss = 0.00369114
Iteration 143, loss = 0.00366542
Iteration 144, loss = 0.00364010
Iteration 145, loss = 0.00361516
Iteration 146, loss = 0.00359061
Iteration 147, loss = 0.00356642
Iteration 148, loss = 0.00354259
Iteration 149, loss = 0.00351912
Iteration 150, loss = 0.00349599
Iteration 151, loss = 0.00347319
Iteration 152, loss = 0.00345073
Iteration 153, loss = 0.00342858
Iteration 154, loss = 0.00340675
Iteration 155, loss = 0.00338523
Iteration 156, loss = 0.00336400
Iteration 157, loss = 0.00334307
Iteration 158, loss = 0.00332243
Iteration 159, loss = 0.00330207
Iteration 160, loss = 0.00328199
Iteration 161, loss = 0.00326217
Iteration 162, loss = 0.00324262
Iteration 163, loss = 0.00322333
Iteration 164, loss = 0.00320429
Iteration 165, loss = 0.00318550
Iteration 166, loss = 0.00316696
Iteration 167, loss = 0.00314865
Iteration 168, loss = 0.00313058
Iteration 169, loss = 0.00311274
Iteration 170, loss = 0.00309512
Iteration 171, loss = 0.00307773
Iteration 172, loss = 0.00306055
Iteration 173, loss = 0.00304358
Iteration 174, loss = 0.00302683
Iteration 175, loss = 0.00301027
Iteration 176, loss = 0.00299392
Iteration 177, loss = 0.00297777
Iteration 178, loss = 0.00296181
Iteration 179, loss = 0.00294604
Iteration 180, loss = 0.00293046
Iteration 181, loss = 0.00291506
Iteration 182, loss = 0.00289984
Iteration 183, loss = 0.00288480
Iteration 184, loss = 0.00286994
Iteration 185, loss = 0.00285524
Iteration 186, loss = 0.00284072
Iteration 187, loss = 0.00282635
Iteration 188, loss = 0.00281216
Iteration 189, loss = 0.00279812
Iteration 190, loss = 0.00278423
Iteration 191, loss = 0.00277051
Iteration 192, loss = 0.00275693
Iteration 193, loss = 0.00274350
Iteration 194, loss = 0.00273023
Iteration 195, loss = 0.00271709
Iteration 196, loss = 0.00270410
Iteration 197, loss = 0.00269125
Iteration 198, loss = 0.00267853
Iteration 199, loss = 0.00266595
Iteration 200, loss = 0.00265350
Iteration 201, loss = 0.00264119
Iteration 202, loss = 0.00262900
Iteration 203, loss = 0.00261694
Iteration 204, loss = 0.00260501
Iteration 205, loss = 0.00259320
Iteration 206, loss = 0.00258151
Iteration 207, loss = 0.00256994
Iteration 208, loss = 0.00255849
Iteration 209, loss = 0.00254715
Iteration 210, loss = 0.00253593
Iteration 211, loss = 0.00252482
Iteration 212, loss = 0.00251382
Iteration 213, loss = 0.00250293
Iteration 214, loss = 0.00249215
Iteration 215, loss = 0.00248147
Iteration 216, loss = 0.00247090
Iteration 217, loss = 0.00246043
Iteration 218, loss = 0.00245006
Iteration 219, loss = 0.00243980
Iteration 220, loss = 0.00242963
Iteration 221, loss = 0.00241955
Iteration 222, loss = 0.00240958
Iteration 223, loss = 0.00239970
Iteration 224, loss = 0.00238991
Iteration 225, loss = 0.00238021
Iteration 226, loss = 0.00237060
Iteration 227, loss = 0.00236108
Iteration 228, loss = 0.00235165
Iteration 229, loss = 0.00234231
Iteration 230, loss = 0.00233305
Iteration 231, loss = 0.00232388
Iteration 232, loss = 0.00231479
Iteration 233, loss = 0.00230578
Iteration 234, loss = 0.00229686
Iteration 235, loss = 0.00228801
Iteration 236, loss = 0.00227924
Iteration 237, loss = 0.00227055
Iteration 238, loss = 0.00226194
Iteration 239, loss = 0.00225340
Iteration 240, loss = 0.00224494
Iteration 241, loss = 0.00223655
Iteration 242, loss = 0.00222823
Iteration 243, loss = 0.00221999
Iteration 244, loss = 0.00221182
Iteration 245, loss = 0.00220372
Iteration 246, loss = 0.00219568
Iteration 247, loss = 0.00218772
Iteration 248, loss = 0.00217982
Iteration 249, loss = 0.00217199
Iteration 250, loss = 0.00216422
Iteration 251, loss = 0.00215652
Iteration 252, loss = 0.00214889
Iteration 253, loss = 0.00214132
Iteration 254, loss = 0.00213381
Iteration 255, loss = 0.00212636
Iteration 256, loss = 0.00211897
Iteration 257, loss = 0.00211165
Iteration 258, loss = 0.00210438
Iteration 259, loss = 0.00209717
Iteration 260, loss = 0.00209002
Iteration 261, loss = 0.00208293
Iteration 262, loss = 0.00207590
Iteration 263, loss = 0.00206892
Iteration 264, loss = 0.00206199
Iteration 265, loss = 0.00205513
Iteration 266, loss = 0.00204831
Iteration 267, loss = 0.00204155
Iteration 268, loss = 0.00203484
Iteration 269, loss = 0.00202819
Iteration 270, loss = 0.00202158
Iteration 271, loss = 0.00201503
Iteration 272, loss = 0.00200853
Iteration 273, loss = 0.00200208
